"Operations";"{0}";"{1}";"{2}";"{0,1}";"{1,2}";"{0,2}";"psi_2";"tau_0";"tau_1";"psiâ€™_2";"rho_2";"S_01";"T'_2";"T_2";T^mu2;mu2
d;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
f232;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
f223;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1
f333;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1
f332;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1
f1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1
f2;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1
f3;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1;1
f4;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1
f5;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1
g3;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;1
f6;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1
g4;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1
f7;1;0;1;1;0;1;0;0;0;0;1;1;1;1;1;1
falf;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1
fbet;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1
fgam;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1
fdel;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1
feta;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1
ftet;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1
fS;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1
fkap;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1
