Operations;(0,0,0);(0,0,1);(0,0,2);(0,1,0);(0,1,1);(0,1,2);(0,2,0);(0,2,1);(0,2,2);(1,0,0);(1,0,1);(1,0,2);(1,1,0);(1,1,1);(1,1,2);(1,2,0);(1,2,1);(1,2,2);(2,0,0);(2,0,1);(2,0,2);(2,1,0);(2,1,1);(2,1,2);(2,2,0);(2,2,1);(2,2,2)
g;0;1;2;1;0;0;2;0;0;1;0;1;0;1;2;1;2;1;2;2;0;2;2;1;0;1;2
g322;0;0;2;0;1;0;2;0;0;0;1;1;1;1;2;1;2;1;2;2;0;2;2;1;0;1;2
g332;0;0;0;0;1;0;0;0;2;0;1;1;1;1;2;1;2;1;0;2;2;2;2;1;2;1;2
g333;0;0;0;0;1;0;0;0;2;0;1;1;1;1;1;1;1;2;0;2;2;2;1;2;2;2;2
gkap;0;1;2;1;0;0;2;1;0;1;0;2;0;1;2;1;2;1;2;2;0;0;2;1;0;1;2
glan;0;1;2;1;0;0;2;1;0;1;0;1;0;1;2;0;2;1;2;0;0;1;2;1;0;1;2
d;0;1;2;1;0;2;2;2;0;1;0;2;0;1;2;2;2;1;2;2;0;2;2;1;0;1;2
f232_0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2
f232_1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2
f232_2;0;1;0;1;0;0;0;0;0;1;0;1;0;1;1;1;1;1;2;2;2;2;2;2;2;2;2
f223;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;2;0;1;2;0;1;2;2;2;2
f333;0;0;0;0;1;0;0;0;2;0;1;1;1;1;1;1;1;2;0;0;2;1;1;2;2;2;2
f332;0;0;2;0;1;2;0;0;0;0;1;2;1;1;2;1;1;1;2;2;0;2;2;1;0;1;2
fkap;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1;2;2;2;2;2;2;2;2;2