{0};{1};{2};{0,1};{1,2};{0,2};T'_2;T'_1;T'_0;phi;psi_0;psi_1;psi_2;psi’_0;psi’_1;psi’_2;phi’_3;phi’_1;phi’_2;phi’_4;phi’_5;phi’_0;Minority;Majority;f(x)=f(y);2-cyclic;3-cyclic;2-Symmetric-Majority;Zhuk-5-symmetric;Minor-equivalence-class
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;1;C_2
1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;C_2
1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;C_3
1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;C_3
1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;C_3
1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;C_3
0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;C_3
1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;D
1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;D
1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;D
1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;I_2
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;I_2
1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;I_2
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;I_2
1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;L_2
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;L_2
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;T
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;T
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;T
0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;T
1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;Z_2
1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;Z_2
