Operazioni;0;1;2;01;12;02;T01;T02;T21;phi1;psi0;psi1;psi2;psi’0;psi’1;psi’2;phi’1;phi’2;phi’3;phi’4;phi’5;phi’6
h;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
h0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
h1;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
h2;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0
half;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
g;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
g322;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1
g332;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0
g333;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
g1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0
g2;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
g3;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
g4;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
g5;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
g6;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
g7;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g8;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
g9;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
g10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
galf;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1
gbet;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0
ggam;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0
gdel;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
geta;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0
gtet;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
gkap;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1
glan;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1