0,1,2,01,12,02,psi2,tau1,tau2,psi’2,rho1,S01,T01,T1,T’1,Category,Gumm,majiority,K,7,NN44,NN54,TS3,KK7,CycMaj,NN32,NN50,SymMaj,NN61,Maj,John1,NN26,John2,DJohn2,HM5,NN33,S3,NN31,NN22,HM3,HM4,NN34,NN28,NN30,KK3,Min,HMcK2,NN64,xv(y+z),SymMin
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,core,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
