0,1,2,01,12,02,T01,T02,T21,phi1,psi0,psi1,psi2,psi’0,psi’1,psi’2,phi’1,phi’2,phi’3,phi’4,phi’5,phi’6,un_poly,Category
1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,['001122'],core
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001222', '001221', '001220', '001120', '001122', '001121', '001021', '001022', '001020']",Top
1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,['001122'],core
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['001122', '021222', '011022']",Top
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021221', '021121', '021122', '011122', '011121', '011221', '011222', '001222', '001221', '001121', '001122']",Top
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['001122', '021222']",Top
0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"['001122', '011022']",core
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001122', '011022']",core
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '001120']",binary
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['001122', '021222']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,['001122'],core
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001120']",binary
1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,['001122'],core
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['001122', '021222']",Top
1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,['001122'],core
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021220', '021120', '021122', '021022', '021020', '001020', '001022', '001222', '001220', '001120', '001122']",Top
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,['001122'],core
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,['001122'],core
1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,['001122'],core
0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['001122', '011121']",Top
0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,"['001122', '021222']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,['001122'],core
1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,['001122'],core
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['011121', '011122', '001122', '001121']",Top
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001222', '001122', '021122', '021222']",Top
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['001122'],core
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['011122', '011121', '011120', '001120', '001122', '001121']",Top
1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['001020', '001122']",Top
1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,['001122'],core
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021122', '021022', '001022', '001222', '001122']",Top
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['001122'],core
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021122', '021022', '011022', '011222', '011122', '001122', '001222', '001022']",Top
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001122', '001121', '001120', '011020', '011022', '011021']",binary
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,['001122'],core
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021122', '021121', '021120', '011120', '011122', '011121', '001121', '001122', '001120']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,['001122'],core
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '001120']",binary
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001122', '011022']",core
1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,['001122'],core
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['001122', '011121']",Top
1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"['001020', '001122']",Top
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001022', '001021', '001020', '001120', '001122', '001121']",Top
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,['001122'],core
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,['001122'],core
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,['001122'],core
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['001020', '001221', '001122']",Top
1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,['001122'],core
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001120', '001020', '001022']",Top
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"['001020', '001122']",Top
1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,['001122'],core
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['011122', '011121', '011120', '011020', '011022', '011021', '001021', '001022', '001020', '001120', '001122', '001121']",Top
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '011121', '011122']",Top
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021122', '001122', '001222']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['001122'],core
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,['001122'],core
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['001122'],core
1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,['001122'],core
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021121', '021122', '021222', '021221', '011221', '011222', '011122', '011121', '001121', '001122', '001222', '001221']",Top
1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,['001122'],core
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '001120', '001020', '001022', '001021']",Top
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021122', '021222', '001222', '001122']",Top
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,['001122'],core
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,['001122'],core
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['001020', '001122']",Top
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"['001122', '011022']",core
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001120', '001122', '001022', '001020']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,['001122'],core
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001220', '001222', '001122', '001120', '001020', '001022', '021022', '021020', '021220', '021222', '021122', '021120']",Top
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '001120', '011120', '011122', '011121']",Top
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,['001122'],core
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,['001122'],core
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001222', '001122', '001022', '021022', '021222', '021122']",Top
1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001020', '001022', '001122', '001120']",Top
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021221', '021220', '021120', '021122', '021121', '021021', '021022', '021020', '011020', '011022', '011021', '011221', '011222', '011220', '011120', '011122', '011121', '001121', '001122', '001120', '001220', '001222', '001221', '001021', '001022', '001020']",Top
1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001120', '001122']",binary
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001122', '001120']",binary
0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001121', '001122', '011122', '011121']",Top
1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,['001122'],core
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['001122', '021120', '011121']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,['001122'],core
0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"['001122', '011121']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,['001122'],core
1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001120', '001122']",binary
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001122', '001121', '001120']",binary
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001122', '001121', '001120']",binary
1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['001122'],core
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['001122'],core
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001022', '001021', '001020', '001120', '001122', '001121', '011121', '011122', '011022', '011020', '011120', '011021']",Top
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['001122'],core
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['001122', '001121', '001120', '011020', '011022', '011021']",binary
1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,['001122'],core
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['001122'],core
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['001122'],core
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001222', '021222', '021122']",Top
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['011122', '011121', '001121', '001122']",Top
0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"['001122', '011121']",Top
1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,['001122'],core
1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,['001122'],core
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['001122'],core
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['011122', '011022', '001022', '001122']",binary
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['001122', '021021', '011220']",core
