0,1,2,01,12,02,psi2,tau1,tau2,psi’2,rho1,S01,T01,T1,T’1,un_poly,query,Category
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,"['001120', '001122']",0,binary
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,['001122'],0,core
0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,"['001120', '001122', '001121', '011121', '011122', '011120']",0,Top
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"['001020', '001022', '001021', '001121', '001122', '001120']",1,Top
0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,"['001122', '021222']",0,core
1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,['001122'],0,core
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"['001122', '021222', '021221', '001121', '011122', '011121']",0,Top
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '001120']",0,binary
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"['001022', '001122', '021221', '011122', '011022', '021220']",0,binary
1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,"['001022', '001122']",0,binary
1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,"['001120', '001122', '001121']",0,binary
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,['001122'],0,core
1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,"['001022', '001122']",0,binary
1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,"['001022', '001122']",0,binary
1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,['001122'],0,core
0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,"['001120', '001122', '001121', '011021', '011022', '011020']",0,binary
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,"['001120', '001122', '001121', '011021', '011022', '011020']",0,binary
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,"['001122', '021222']",0,core
0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,"['001122', '011121', '011120']",0,Top
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"['001020', '001022', '001021', '001121', '001122', '001120']",1,Top
1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"['001022', '001122']",0,binary
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"['001022', '001122', '021221', '021220', '011122', '011022']",0,binary
1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,['001122'],0,core
1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,['001122'],0,core
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"['011122', '001122']",0,binary
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,"['001020', '001122']",1,Top
1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,['001122'],0,core
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"['001020', '001022', '001122', '001120', '021220', '021222']",1,Top
0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,"['001122', '011122']",0,binary
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,"['001122', '021222', '011022']",0,core
1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,"['001022', '001122']",0,binary
1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,['001122'],0,core
0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"['001122', '011122']",0,binary
0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,"['001022', '001122', '011122', '011022']",0,binary
0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,"['001022', '001122', '011122', '011022']",0,binary
1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"['001122', '001121', '001120']",0,binary
1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,['001122'],0,core
0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,"['001122', '011022']",0,core
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"['001022', '001021', '001020', '001120', '001122', '001121', '011121', '011122', '011022', '011020', '011120', '011021']",1,Top
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"['001022', '001122', '021220']",0,binary
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,"['001120', '001122', '001121', '011021', '011022', '011020']",0,binary
1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,['001122'],0,core
0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,"['001020', '001021', '001122', '011121', '011120', '011022']",1,Top
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"['001021', '001020', '001122']",1,Top
1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,['001122'],0,core
1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,"['001020', '001122']",1,Top
1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,['001122'],0,core
1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,['001122'],0,core
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"['001022', '001122', '021220']",0,binary
0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,"['001122', '011121', '011120']",0,Top
1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,['001122'],0,core
0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,"['001122', '011122']",0,binary
1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,"['001122', '001121', '001120']",0,binary
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"['001020', '001022', '001021', '001121', '001122', '001120', '021220', '021222', '021221', '011121', '011122', '011120', '011020', '011022', '011021']",1,Top
1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,['001122'],0,core
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,"['001122', '011122']",0,binary
0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,"['001122', '021222', '011022']",0,core
1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,"['001120', '001122']",0,binary
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"['001020', '001022', '001021', '001121', '001122', '001120', '011120', '011122', '011022', '011020', '011021', '011121']",1,Top
0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,"['001122', '011022']",0,core
0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,"['001022', '001122', '021222']",0,binary
0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,"['001121', '001122', '011122', '011121']",0,Top
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"['001120', '001122', '001121', '011121', '011122', '011120']",0,Top
0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,"['001121', '001122', '011122', '011121']",0,Top
0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,"['001122', '011022']",0,core
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['011122', '011121', '011120', '011020', '011022', '011021', '001021', '001022', '001020', '001120', '001122', '001121']",1,Top
1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,['001122'],0,core
1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,['001122'],0,core
1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,['001122'],0,core
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['021222', '021221', '021121', '021122', '011122', '011121', '011221', '011222', '001222', '001221', '001121', '001122']",0,Top
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,"['001122', '011022']",0,core
0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,"['001022', '001122', '021222']",0,binary
0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,"['001122', '011022']",0,core
1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,['001122'],0,core
1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,['001122'],0,core
1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,['001122'],0,core
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,['001122'],0,core
1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,['001122'],0,core
1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,"['001122', '001120']",0,binary
0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,"['001122', '011121']",0,Top
1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,['001122'],0,core
1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"['001020', '001022', '001122', '001120']",1,Top
1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,"['001022', '001122']",0,binary
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['021222', '021220', '021120', '021122', '021022', '021020', '001020', '001022', '001222', '001220', '001120', '001122']",1,Top
1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,"['001120', '001122']",0,binary
0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,"['001120', '001122', '001121', '011121', '011122', '011120']",0,Top
1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,['001122'],0,core
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"['001022', '001122', '021222', '011122', '011022']",0,binary
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"['001122', '021222']",0,core
1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,['001122'],0,core
1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,"['001022', '001122']",0,binary
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,['001122'],0,core
0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,"['001120', '001122', '001121', '011121', '011122', '011120']",0,Top
1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,['001122'],0,core
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"['001022', '001021', '001020', '001120', '001122', '001121']",1,Top
0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,"['001122', '011022']",0,core
1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,['001122'],0,core
0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,"['001122', '011022']",0,core
1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,['001122'],0,core
1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,"['001020', '001021', '001122']",1,Top
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['001020', '001022', '001122', '001120', '021220', '021222']",1,Top
0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,"['001122', '011022']",0,core
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"['001122', '021222', '011022']",0,core
0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,"['001122', '021222']",0,core
1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,['001122'],0,core
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"['001022', '001122', '021221', '021220', '011122', '011022']",0,binary
0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,"['001022', '001122', '011122', '011022']",0,binary
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,['001122'],0,core
1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,"['001022', '001122']",0,binary
1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,['001122'],0,core
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"['011122', '011022', '001022', '001122']",0,binary
1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,"['001020', '001022', '001122', '001120']",1,Top
1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,"['001020', '001022', '001122', '001120']",1,Top
0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,"['001122', '011022']",0,core
0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"['001122', '011022']",0,core
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,"['001121', '001122', '011122', '011121']",0,Top
0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,"['001122', '011121', '011120']",0,Top
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,['001122'],0,core
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"['001122', '001121', '001120', '011020', '011022', '011021']",0,binary
1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,['001122'],0,core
1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,['001122'],0,core
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001121', '001120', '001020', '001022', '001021']",1,Top
0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,"['001122', '011022']",0,core
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"['001022', '001122', '021220']",0,binary
1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,"['001022', '001122']",0,binary
1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,"['001022', '001122']",0,binary
1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,['001122'],0,core
0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,"['001022', '001122', '011122', '011022']",0,binary
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021122', '021022', '011022', '011222', '011122', '001122', '001222', '001022']",0,binary
1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,"['001120', '001122', '001121']",0,binary
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['001020', '001022', '001021', '001121', '001122', '001120', '021220', '011120', '011122', '011121', '011021', '011022', '011020', '021222', '021221']",1,Top
0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,"['001020', '001021', '001122', '011121', '011120', '011022']",1,Top
0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,"['001122', '011121']",0,Top
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"['001022', '001122', '011122', '011022']",0,binary
1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,"['001020', '001021', '001122']",1,Top
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,"['001122', '021222', '011022']",0,core
1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,['001122'],0,core
0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,"['001122', '011022']",0,core
1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,['001122'],0,core
0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,"['001122', '001121', '011121', '011122']",0,Top
0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,"['001122', '011121', '011120']",0,Top
1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,['001122'],0,core
0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,"['001022', '001122', '011122', '011022']",0,binary
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,['001122'],0,core
0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,"['001122', '011022']",0,core
0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,['001122'],0,core
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"['001020', '001022', '001021', '001121', '001122', '001120', '021220', '021222', '021221', '011121', '011122', '011120', '011020', '011022', '011021']",1,Top
1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,['001122'],0,core
1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,['001122'],0,core
1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,['001122'],0,core
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"['021222', '021122', '021022', '001022', '001222', '001122']",0,binary
1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,['001122'],0,core
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"['001122', '001120']",0,binary
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['001121', '001122', '021222', '011122', '011121', '021221']",0,Top
0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,"['001122', '011022']",0,core
1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,['001122'],0,core
1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,"['001120', '001122', '001121']",0,binary
1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,"['001120', '001122', '001121']",0,binary
1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"['001022', '001122']",0,binary
1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,['001122'],0,core
1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,"['001020', '001122']",1,Top
1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,['001122'],0,core
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,"['001122', '001121', '001120', '011020', '011022', '011021']",0,binary
1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,"['001022', '001122']",0,binary
0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,"['001122', '011121']",0,Top
0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,"['001122', '011022']",0,core
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"['021222', '021122', '001122', '001222']",0,binary
0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,"['001121', '001122', '011122', '011121']",0,Top
1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,['001122'],0,core
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,"['001022', '001122']",0,binary
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"['001022', '001122', '021221', '021220', '011122', '011022']",0,binary
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,['001122'],0,core
1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,['001122'],0,core
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"['001122', '001121', '021221', '011121', '011122', '021222']",0,Top
1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,['001122'],0,core
1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,"['001022', '001122']",0,binary
0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,"['001122', '011022']",0,core
1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,['001122'],0,core
1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,"['001020', '001022', '001021', '001121', '001122', '001120']",1,Top
1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,['001122'],0,core
1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"['001120', '001122', '001121']",0,binary
1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,"['001120', '001122']",0,binary
1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,['001122'],0,core
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"['001122', '001121', '001120', '011120', '011122', '011121']",0,Top
0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,"['001120', '001122', '001121', '011021', '011022', '011020']",0,binary
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"['001122', '001022']",0,binary
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,"['001122', '011022']",0,core
1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,"['001020', '001021', '001122']",1,Top
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"['001122', '011121', '011120']",0,Top
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['001020', '001022', '001122', '001120', '021220', '021222']",1,Top
1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,['001122'],0,core
1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,['001122'],0,core
0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,"['001122', '021222']",0,core
0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,"['001122', '011022']",0,core
0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,"['001122', '011122']",0,binary
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,"['001122', '011022']",0,core
1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,['001122'],0,core
1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"['001022', '001020', '001120', '001122']",1,Top
0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,"['001122', '011122']",0,binary
0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,"['001122', '011122']",0,binary
0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,"['001122', '011022']",0,core
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,['001122'],0,core
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"['011122', '011121', '001121', '001122']",0,Top
1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,['001122'],0,core
1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,"['001020', '001122']",1,Top
1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,['001122'],0,core
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,['001122'],0,core
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"['001020', '001022', '001021', '001121', '001122', '001120', '011120', '011020', '011022', '011021', '011121', '011122']",1,Top
0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,"['001022', '001122', '021220']",0,binary
0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,"['001122', '011022']",0,core
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"['001122', '001120']",0,binary
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"['001020', '001022', '001021', '001121', '001122', '001120', '011120', '011122', '011121', '011021', '011022', '011020']",1,Top
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"['011122', '011121', '011120', '001120', '001122', '001121']",0,Top
0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,"['001122', '011022']",0,core
0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,"['001122', '011022']",0,core
1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,['001122'],0,core
1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,"['001022', '001122']",0,binary
1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,['001122'],0,core
1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,"['001020', '001022', '001122', '001120']",1,Top
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,['001122'],0,core
1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,['001122'],0,core
1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,['001122'],0,core
1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,['001122'],0,core
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"['001122', '001120', '001020', '001022']",1,Top
1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,['001122'],0,core
1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,['001122'],0,core
0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,"['001122', '011122']",0,binary
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,"['001022', '001122', '021222']",0,binary
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['021222', '021221', '021220', '021120', '021122', '021121', '021021', '021022', '021020', '011020', '011022', '011021', '011221', '011222', '011220', '011120', '011122', '011121', '001121', '001122', '001120', '001220', '001222', '001221', '001021', '001022', '001020']",1,Top
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"['001020', '001022', '001021', '001121', '001122', '001120']",1,Top
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,['001122'],0,core
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"['001020', '001022', '001021', '001121', '001122', '001120', '011120', '011122', '011022', '011020', '011021', '011121']",1,Top
1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"['001122', '001022']",0,binary
0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,"['001122', '011022']",0,core
1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,"['001120', '001122']",0,binary
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"['001022', '001122', '021222', '011122', '011022']",0,binary
1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,['001122'],0,core
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"['001022', '001122', '021222', '011122', '011022']",0,binary
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"['001022', '001122', '011122', '011022']",0,binary
0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,['001122'],0,core
1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,['001122'],0,core
0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,"['001022', '001122', '011122', '011022']",0,binary
1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,"['001020', '001021', '001122']",1,Top
1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,"['001022', '001122']",0,binary
0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,"['001122', '011022']",0,core
1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,['001122'],0,core
0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,"['001122', '011022']",0,core
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,['001122'],0,core
1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,['001122'],0,core
1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,"['001020', '001122']",1,Top
